,index,male,female,non-binary,timestamp
215,34486009.0,0,0,0,2021-06-25T02:19:02
216,40930008.0,0,0,0,2021-06-25T02:19:02
217,14669001.0,0,0,0,2021-06-25T02:19:02
218,15188001.0,0,0,0,2021-06-25T02:19:02
219,18193002.0,0,0,0,2021-06-25T02:19:02
220,18718003.0,0,0,0,2021-06-25T02:19:02
221,21134002.0,0,0,0,2021-06-25T02:19:02
222,396275006.0,0,0,0,2021-06-25T02:19:02
223,22298006.0,0,0,0,2021-06-25T02:19:02
224,23502006.0,0,0,0,2021-06-25T02:19:02
225,23919004.0,0,0,0,2021-06-25T02:19:02
226,24693007.0,0,0,0,2021-06-25T02:19:02
227,24700007.0,65,1,0,2021-06-25T02:19:02
228,25458004.0,0,0,0,2021-06-25T02:19:02
229,26889001.0,0,0,0,2021-06-25T02:19:02
230,26929004.0,0,0,0,2021-06-25T02:19:02
231,29384001.0,0,0,0,2021-06-25T02:19:02
232,30811009.0,0,0,0,2021-06-25T02:19:02
233,31384009.0,0,0,0,2021-06-25T02:19:02
234,32398004.0,0,0,0,2021-06-25T02:19:02
235,32798002.0,0,0,0,2021-06-25T02:19:02
236,32914008.0,0,0,0,2021-06-25T02:19:02
237,34840004.0,0,0,0,2021-06-25T02:19:02
238,35489007.0,0,0,0,2021-06-25T02:19:02
239,36971009.0,0,0,0,2021-06-25T02:19:02
240,37340000.0,0,0,0,2021-06-25T02:19:02
241,39400004.0,0,0,0,2021-06-25T02:19:02
242,39621005.0,0,0,0,2021-06-25T02:19:02
243,40733004.0,0,0,0,2021-06-25T02:19:02
244,91302008,0,0,0,2021-06-25T02:19:02
245,161712005.0,0,0,0,2021-06-25T02:19:02
246,43116000.0,0,0,0,2021-06-25T02:19:02
247,44054006.0,0,0,0,2021-06-25T02:19:02
248,46635009.0,0,0,0,2021-06-25T02:19:02
249,49049000.0,0,0,0,2021-06-25T02:19:02
250,49601007.0,0,0,0,2021-06-25T02:19:02
251,50829006.0,0,0,0,2021-06-25T02:19:02
252,52448006.0,0,0,0,2021-06-25T02:19:02
253,52702003.0,0,0,0,2021-06-25T02:19:02
254,53741008.0,0,0,0,2021-06-25T02:19:02
255,54150009.0,0,0,0,2021-06-25T02:19:02
256,56317004.0,0,0,0,2021-06-25T02:19:02
257,56925008.0,0,0,0,2021-06-25T02:19:02
258,57182000.0,0,0,0,2021-06-25T02:19:02
259,57406009.0,0,0,0,2021-06-25T02:19:02
260,59927004.0,0,0,0,2021-06-25T02:19:02
261,60862001.0,0,0,0,2021-06-25T02:19:02
262,61462000.0,0,0,0,2021-06-25T02:19:02
263,61599003.0,0,0,0,2021-06-25T02:19:02
264,62315008.0,0,0,0,2021-06-25T02:19:02
265,63102001.0,0,0,0,2021-06-25T02:19:02
266,67362008.0,0,0,0,2021-06-25T02:19:02
267,68566005.0,0,0,0,2021-06-25T02:19:02
268,69322001.0,0,0,0,2021-06-25T02:19:02
269,69896004.0,0,0,0,2021-06-25T02:19:02
270,73211009.0,0,0,0,2021-06-25T02:19:02
271,73442001.0,0,0,0,2021-06-25T02:19:02
272,74732009.0,0,0,0,2021-06-25T02:19:02
273,75694006.0,0,0,0,2021-06-25T02:19:02
274,76376003.0,0,0,0,2021-06-25T02:19:02
275,86044005.0,0,0,0,2021-06-25T02:19:02
276,709044004.0,0,0,0,2021-06-25T02:19:02
277,129103003.0,0,0,0,2021-06-25T02:19:02
278,195967001.0,0,0,0,2021-06-25T02:19:02
279,200936003.0,0,0,0,2021-06-25T02:19:02
280,233604007.0,0,0,0,2021-06-25T02:19:02
281,698247007.0,0,0,0,2021-06-25T02:19:02
282,hiv/aids,0,0,0,2021-09-07T02:37:32
283,covid-19,0,0,0,2021-09-07T02:37:32
284,takotsubo cardiomyopathy,0,0,0,2021-09-07T02:37:32
285,tuberculoses,0,0,0,2021-09-07T02:37:32
286,endocarditis,0,0,0,2021-09-07T02:37:32
287,syphilis,0,0,0,2021-09-07T02:37:32
288,test,0,0,0,2021-09-07T02:37:32
289,hypertension,0,0,0,2021-09-07T02:37:32
290,sarcoidoses,0,0,0,2021-09-07T02:37:32
291,hepatitis b,0,0,0,2021-09-07T02:37:32
292,ulcerative colitis,0,0,0,2021-09-07T02:37:32
293,crohn’s disease,0,0,0,2021-09-07T02:37:32
294,chagas disease,0,0,0,2021-09-07T02:37:32
295,3545003.0,0,0,0,2021-09-07T02:37:32
296,3716002.0,0,0,0,2021-09-07T02:37:32
297,3723001.0,0,0,0,2021-09-07T02:37:32
298,4308002.0,0,0,0,2021-09-07T02:37:32
299,6142004.0,0,0,0,2021-09-07T02:37:32
300,6471006.0,0,0,0,2021-09-07T02:37:32
301,7973008.0,0,0,0,2021-09-07T02:37:32
302,8357008.0,0,0,0,2021-09-07T02:37:32
303,menstruation,0,0,0,2021-09-07T02:37:32
304,9829001.0,0,0,0,2021-09-07T02:37:32
305,10743008.0,0,0,0,2021-09-07T02:37:32
306,11381005.0,0,0,0,2021-09-07T02:37:32
307,11654001.0,0,0,0,2021-09-07T02:37:32
308,13746004.0,0,0,0,2021-09-07T02:37:32
309,34486009.0,0,0,0,2021-09-07T02:37:32
310,40930008.0,0,0,0,2021-09-07T02:37:32
311,14669001.0,0,0,0,2021-09-07T02:37:32
312,15188001.0,0,0,0,2021-09-07T02:37:32
313,18193002.0,0,0,0,2021-09-07T02:37:32
314,18718003.0,0,0,0,2021-09-07T02:37:32
315,21134002.0,0,0,0,2021-09-07T02:37:32
316,396275006.0,0,0,0,2021-09-07T02:37:32
317,22298006.0,0,0,0,2021-09-07T02:37:32
318,23502006.0,0,0,0,2021-09-07T02:37:32
